Sampling Rate : 128HZ,Duration : 10 Minutes
Time,PPG
0,-62997.44531
0.0078125,-62930.30078
0.015625,-62874.19922
0.0234375,-62827.80859
0.03125,-62789.98828
0.0390625,-62760.03906
0.046875,-62734.78906
0.0546875,-62708.00781
0.0625,-62674.30078
0.0703125,-62631.08984
0.078125,-62584.36328
0.0859375,-62543.78516
0.09375,-62519.64063
0.1015625,-62516.73438
0.109375,-62531.5625
0.1171875,-62555.70313
0.125,-62579.46484
0.1328125,-62597.52734
0.140625,-62610
0.1484375,-62620.29297
0.15625,-62632.63281
0.1640625,-62647.21484
0.171875,-62663.41797
0.1796875,-62678.83203
0.1875,-62693.82031
0.1953125,-62712.43359
0.203125,-62740.35938
0.2109375,-62784.11719
0.21875,-62845.47656
0.2265625,-62920.82422
0.234375,-63001.10938
0.2421875,-63074.89844
0.25,-63133.93359
0.2578125,-63173.9375
0.265625,-63198.06641
0.2734375,-63211.01172
0.28125,-63217.36328
0.2890625,-63219.53906
0.296875,-63217.75391
0.3046875,-63214.625
0.3125,-63214.08984
0.3203125,-63220.98047
0.328125,-63237.10156
0.3359375,-63258.71484
0.34375,-63279
0.3515625,-63289.94141
0.359375,-63289.45703
0.3671875,-63279.39844
0.375,-63265.02344
0.3828125,-63251.80078
0.390625,-63243.04297
0.3984375,-63243.38281
0.40625,-63257.27344
0.4140625,-63288.96875
0.421875,-63338.34375
0.4296875,-63398.02734
0.4375,-63456.12891
0.4453125,-63500.03125
0.453125,-63525.85547
0.4609375,-63537.86328
0.46875,-63546.1875
0.4765625,-63559.67578
0.484375,-63579.54688
0.4921875,-63602.60547
0.5,-63630.06641
0.5078125,-63648.62109
0.515625,-63670.35156
0.5234375,-63699.75391
0.53125,-63736.57031
0.5390625,-63775.96875
0.546875,-63812.91016
0.5546875,-63845.26172
0.5625,-63875.82813
0.5703125,-63908.6875
0.578125,-63945.36719
0.5859375,-63984.03125
0.59375,-64018.89453
0.6015625,-64047.15625
0.609375,-64068.10938
0.6171875,-64084.69922
0.625,-64100.38281
0.6328125,-64115.67578
0.640625,-64129.89453
0.6484375,-64140.60938
0.65625,-64147.16797
0.6640625,-64151.22656
0.671875,-64156.125
0.6796875,-64166.57813
0.6875,-64185.23438
0.6953125,-64214.39063
0.703125,-64252.62891
0.7109375,-64296.22656
0.71875,-64340.21484
0.7265625,-64378.75781
0.734375,-64410.33984
0.7421875,-64436.02734
0.75,-64461.10156
0.7578125,-64491.41406
0.765625,-64530.6875
0.7734375,-64579.18359
0.78125,-64633.04688
0.7890625,-64687.50781
0.796875,-64737.80859
0.8046875,-64780.79297
0.8125,-64815.32031
0.8203125,-64838.98438
0.828125,-64850.96875
0.8359375,-64849.20313
0.84375,-64834.10156
0.8515625,-64808.77344
0.859375,-64778.36719
0.8671875,-64748.86328
0.875,-64723.10156
0.8828125,-64700.19531
0.890625,-64675.8125
0.8984375,-64645.05469
0.90625,-64606.46875
0.9140625,-64560.72266
0.921875,-64512.16797
0.9296875,-64462.85938
0.9375,-64412.33594
0.9453125,-64357.90625
0.953125,-64295.75391
0.9609375,-64226.12891
0.96875,-64151.375
0.9765625,-64076.51563
0.984375,-64005.64844
0.9921875,-63940.44531
1,-63875.05469
1.0078125,-63819.72266
1.015625,-63768.83203
1.0234375,-63723.96484
1.03125,-63687.91406
1.0390625,-63662.60547
1.046875,-63645.91797
1.0546875,-63634.15234
1.0625,-63620.23047
1.0703125,-63597.90234
1.078125,-63562.5625
1.0859375,-63512.32422
1.09375,-63448.92578
1.1015625,-63376.33984
1.109375,-63301.31641
1.1171875,-63231.46094
1.125,-63173.3125
1.1328125,-63130.82422
1.140625,-63101.50391
1.1484375,-63079.77344
1.15625,-63057.14844
1.1640625,-63027.67578
1.171875,-62990.75391
1.1796875,-62948.75391
1.1875,-62906.66406
1.1953125,-62864.83984
1.203125,-62819.64844
1.2109375,-62764.78516
1.21875,-62695.62891
1.2265625,-62614.11328
1.234375,-62527.52344
1.2421875,-62445.58984
1.25,-62374.67969
1.2578125,-62314.86328
1.265625,-62261.61719
1.2734375,-62208.96875
1.28125,-62155.95703
1.2890625,-62105.33984
1.296875,-62061.26172
1.3046875,-62024.94141
1.3125,-61989.89844
1.3203125,-61946.76563
1.328125,-61884.98438
1.3359375,-61800.16016
1.34375,-61695.33594
1.3515625,-61578.26953
1.359375,-61459.52344
1.3671875,-61346.07422
1.375,-61241.52734
1.3828125,-61145.66016
1.390625,-61056.22266
1.3984375,-60971.00781
1.40625,-60887.90234
1.4140625,-60806.40625
1.421875,-60726.63672
1.4296875,-60649.15234
1.4375,-60575.33203
1.4453125,-60504.9375
1.453125,-60439.08984
1.4609375,-60377.51563
1.46875,-60320.13672
1.4765625,-60266.59766
1.484375,-60214.53125
1.4921875,-60162.56641
1.5,-60077.14844
1.5078125,-60020.76953
1.515625,-59965.91797
1.5234375,-59917.02344
1.53125,-59878.54688
1.5390625,-59853.88281
1.546875,-59844.49219
1.5546875,-59847.05859
1.5625,-59854.77734
1.5703125,-59857.28516
1.578125,-59846.01953
1.5859375,-59820.37891
1.59375,-59787.39063
1.6015625,-59759.57031
1.609375,-59742.21094
1.6171875,-59726.92188
1.625,-59693.92578
1.6328125,-59623.5625
1.640625,-59516.37109
1.6484375,-59397.70313
1.65625,-59310.69922
1.6640625,-59293.71094
1.671875,-59358.19141
1.6796875,-59485.33203
1.6875,-59636.76172
1.6953125,-59778.5625
1.703125,-59896.44141
1.7109375,-59995.14063
1.71875,-60085.65625
1.7265625,-60169.61719
1.734375,-60235.49219
1.7421875,-60266.10938
1.75,-60251.60938
1.7578125,-60197.875
1.765625,-60123.70703
1.7734375,-60052.57813
1.78125,-60001.59766
1.7890625,-59976.6875
1.796875,-59974.53906
1.8046875,-59985
1.8125,-59998.68359
1.8203125,-60007.49219
1.828125,-60007.22266
1.8359375,-59997.68359
1.84375,-59979.93359
1.8515625,-59957.21875
1.859375,-59929.625
1.8671875,-59894.21484
1.875,-59844.40234
1.8828125,-59770.69531
1.890625,-59666.65625
1.8984375,-59529.99219
1.90625,-59366.59375
1.9140625,-59188.625
1.921875,-59010.30469
1.9296875,-58843.30078
1.9375,-58691.98438
1.9453125,-58554.26953
1.953125,-58424.87109
1.9609375,-58300.09375
1.96875,-58180.87891
1.9765625,-58071.08984
